,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
10,146,146,2.0,1,64,6,58192.0,132,8.0,22,63117,385,317,20,24.0,0,0,0,1,1,0,0,6265,32843.0
11,60,60,2.0,1,128,6,58266.0,40,0.0,63117,22,317,477,20,16.0,0,0,0,0,1,0,0,4105,49265.0
12,60,60,0.0,0,37,6,27942.0,44,0.0,34500,22,0,0,24,2.0,0,1,0,0,0,0,0,1024,54527.0
13,60,60,0.0,0,40,6,15508.0,44,0.0,34500,8888,0,0,24,2.0,0,1,0,0,0,0,0,1024,45661.0
14,60,60,0.0,0,59,6,12164.0,44,0.0,34500,23,0,0,24,2.0,0,1,0,0,0,0,0,1024,54526.0
15,58,58,2.0,1,64,6,47733.0,44,0.0,22,34500,0,1,24,18.0,0,1,0,0,1,0,0,64240,32885.0
16,54,54,2.0,1,64,6,47737.0,40,0.0,8888,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,52742.0
17,54,54,2.0,1,64,6,47737.0,40,0.0,23,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,61607.0
18,60,60,0.0,0,57,6,54510.0,44,0.0,34500,1720,0,0,24,2.0,0,1,0,0,0,0,0,1024,52829.0
19,60,60,0.0,0,59,6,32771.0,44,0.0,34500,995,0,0,24,2.0,0,1,0,0,0,0,0,1024,53554.0
20,54,54,2.0,1,64,6,47737.0,40,0.0,1720,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,59910.0
21,54,54,2.0,1,64,6,47737.0,40,0.0,995,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,60635.0
22,60,60,2.0,1,64,6,47737.0,40,0.0,34500,22,1,0,20,4.0,0,0,1,0,0,0,0,0,61624.0
23,60,60,0.0,0,44,6,4318.0,44,0.0,34500,1723,0,0,24,2.0,0,1,0,0,0,0,0,1024,52826.0
24,60,60,0.0,0,47,6,48306.0,44,0.0,34500,587,0,0,24,2.0,0,1,0,0,0,0,0,1024,53962.0
25,60,60,0.0,0,46,6,37616.0,44,0.0,34500,993,0,0,24,2.0,0,1,0,0,0,0,0,1024,53556.0
26,54,54,2.0,1,64,6,47737.0,40,0.0,1723,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,59907.0
27,54,54,2.0,1,64,6,47737.0,40,0.0,587,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,61043.0
28,54,54,2.0,1,64,6,47737.0,40,0.0,993,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,60637.0
29,60,60,0.0,0,44,6,27536.0,44,0.0,34500,1025,0,0,24,2.0,0,1,0,0,0,0,0,1024,53524.0
30,60,60,0.0,0,41,6,9739.0,44,0.0,34500,554,0,0,24,2.0,0,1,0,0,0,0,0,1024,53995.0
31,54,54,2.0,1,64,6,47737.0,40,0.0,1025,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,60605.0
,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
0,54,54,2.0,1,64,6,47737.0,40,0.0,32298,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,29332.0
1,54,54,2.0,1,64,6,47737.0,40,0.0,39207,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,22423.0
2,60,60,0.0,0,40,6,46082.0,44,0.0,34500,35582,0,0,24,2.0,0,1,0,0,0,0,0,1024,18967.0
3,60,60,0.0,0,48,6,19057.0,44,0.0,34500,42795,0,0,24,2.0,0,1,0,0,0,0,0,1024,11754.0
4,54,54,2.0,1,64,6,47737.0,40,0.0,35582,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,26048.0
5,54,54,2.0,1,64,6,47737.0,40,0.0,42795,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,18835.0
6,60,60,0.0,0,55,6,62946.0,44,0.0,34500,26058,0,0,24,2.0,0,1,0,0,0,0,0,1024,28491.0
7,60,60,0.0,0,53,6,17824.0,44,0.0,34500,29833,0,0,24,2.0,0,1,0,0,0,0,0,1024,24716.0
8,60,60,0.0,0,48,6,52096.0,44,0.0,34500,26710,0,0,24,2.0,0,1,0,0,0,0,0,1024,27839.0
9,60,60,0.0,0,57,6,34195.0,44,0.0,34500,30317,0,0,24,2.0,0,1,0,0,0,0,0,1024,24232.0
10,54,54,2.0,1,64,6,47737.0,40,0.0,26058,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,35572.0
11,54,54,2.0,1,64,6,47737.0,40,0.0,29833,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,31797.0
12,54,54,2.0,1,64,6,47737.0,40,0.0,26710,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,34920.0
13,54,54,2.0,1,64,6,47737.0,40,0.0,30317,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,31313.0
14,60,60,0.0,0,47,6,18669.0,44,0.0,34500,24465,0,0,24,2.0,0,1,0,0,0,0,0,1024,30084.0
15,60,60,0.0,0,38,6,9038.0,44,0.0,34500,52378,0,0,24,2.0,0,1,0,0,0,0,0,1024,2171.0
16,54,54,2.0,1,64,6,47737.0,40,0.0,24465,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,37165.0
17,54,54,2.0,1,64,6,47737.0,40,0.0,52378,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,9252.0
18,60,60,0.0,0,58,6,6957.0,44,0.0,34500,59565,0,0,24,2.0,0,1,0,0,0,0,0,1024,60519.0
19,60,60,0.0,0,55,6,16141.0,44,0.0,34500,54906,0,0,24,2.0,0,1,0,0,0,0,0,1024,65178.0
20,60,60,0.0,0,37,6,24383.0,44,0.0,34500,58197,0,0,24,2.0,0,1,0,0,0,0,0,1024,61887.0
21,60,60,0.0,0,39,6,20781.0,44,0.0,34500,46931,0,0,24,2.0,0,1,0,0,0,0,0,1024,7618.0
22,54,54,2.0,1,64,6,47737.0,40,0.0,59565,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,2065.0
